target,m,k,n_active,c_fixed,loss,max_da,c_adapt_3,c_adapt_5,c_adapt_10,c_adapt_20
sin_1pi,50,1,48,31,3.663856697092031e-05,0.0003890861235785,3,2,1,1
sin_1pi,100,1,94,45,2.7660337335584223e-05,0.0002394569068858,4,3,1,1
sin_1pi,250,1,226,22,1.1475483138376909e-05,0.0001957200519417,10,4,2,1
sin_1pi,500,1,442,6,1.0752755387429804e-05,0.0005242520949769,24,6,1,1
sin_1pi,1000,1,772,1,9.08119920681151e-06,0.0031598661686967,43,9,1,1
sin_1pi,1500,1,1101,1,7.543647875769937e-06,0.0037364454662819,50,9,1,1
sin_1pi,2000,1,1503,1,3.9693864016713725e-06,0.0011186908373501,73,9,1,1
sin_1pi,3500,1,2609,1,3.2265671449415444e-06,0.0012072197691623,126,16,1,1
sin_1pi,5000,1,3734,1,4.7189983054619e-06,0.0035502569615646,177,27,3,1
sin_2pi,50,3,50,26,0.0015326618287752,0.0009995005840442,6,5,1,1
sin_2pi,100,3,98,29,0.0006663544009514,0.0005585984427126,6,5,3,1
sin_2pi,250,3,246,13,0.0001250917495014,0.0061997834900344,10,7,3,1
sin_2pi,500,3,478,8,5.79483859123685e-05,0.0020309651845016,20,10,4,1
sin_2pi,1000,3,918,2,2.897979962480125e-05,0.0009678227767142,41,14,3,1
sin_2pi,1500,3,1387,1,2.339176575350256e-05,0.0065028690274509,62,16,1,1
sin_2pi,2000,3,1812,1,1.722414984036518e-05,0.0023891697276596,103,18,2,1
sin_2pi,3500,3,2956,1,1.3894974727692568e-05,0.0032945073808917,156,27,3,1
sin_2pi,5000,3,4116,1,2.028607627411545e-05,0.0078552834836324,206,26,1,1
sin_3pi,50,5,50,11,0.0168547657492444,0.0021445532006295,8,7,1,1
sin_3pi,100,5,100,16,0.006539421613503,0.0015774753380481,11,9,3,1
sin_3pi,250,5,247,23,0.0012442989940072,0.0012583284307387,16,10,7,4
sin_3pi,500,5,491,14,0.0005042044252675,0.0038052216947133,21,11,8,7
sin_3pi,1000,5,963,5,0.0001471841541724,0.0013437243156989,47,17,8,2
sin_3pi,1500,5,1434,2,7.896996497068538e-05,0.0011705554312333,78,22,9,3
sin_3pi,2000,5,1893,1,6.239689301841707e-05,0.0075848952523752,98,23,6,2
sin_3pi,3500,5,3197,1,3.4499083512340106e-05,0.0042776143976785,181,40,5,1
sin_3pi,5000,5,4529,1,2.7957390319637092e-05,0.0061651366741745,242,52,4,2
sin_4pi,50,7,50,9,0.092567801703187,0.004104802644732,9,2,2,1
sin_4pi,100,7,100,11,0.0298520354131806,0.0030271622520825,9,9,5,2
sin_4pi,250,7,250,21,0.0078624233915762,0.0031771247043256,20,19,10,4
sin_4pi,500,7,497,26,0.0031784690297362,0.0165704915277391,28,22,17,10
sin_4pi,1000,7,985,17,0.0008628640152331,0.012248689170975,50,29,13,10
sin_4pi,1500,7,1468,7,0.0003547964065522,0.0048974347028998,80,41,12,9
sin_4pi,2000,7,1956,2,0.0002175221712272,0.0023512395880563,130,60,18,8
sin_4pi,3500,7,3339,1,0.0001001351770704,0.0044166499811938,213,80,14,5
sin_4pi,5000,7,4706,1,6.521500906184027e-05,0.0047606980340763,312,92,7,1
sin_5pi,50,9,50,11,0.2155475386897436,0.0041448461428879,11,2,2,1
sin_5pi,100,9,100,11,0.1205965119561696,0.0041470570035185,11,11,2,2
sin_5pi,250,9,248,18,0.0235350970288134,0.0025025567494646,16,15,12,8
sin_5pi,500,9,500,23,0.0094183619640839,0.0099485639372334,24,23,13,13
sin_5pi,1000,9,996,31,0.0035141885420958,0.0311318064878563,53,43,26,15
sin_5pi,2000,9,1964,13,0.000815117886586,0.0028430528151525,132,81,40,14
sin_5pi,3500,9,3385,2,0.0003621014356562,0.0040081909995534,240,117,35,13
sin_5pi,5000,9,4780,1,0.0002088084060814,0.0113804822603248,329,142,41,12
sin_6pi,50,11,50,13,0.3230081066484388,0.0044795815392397,4,2,2,1
sin_6pi,100,11,100,14,0.2394819416565353,0.005145028893212,14,11,2,2
sin_6pi,250,11,250,14,0.0918213443666697,0.0040713714771566,14,14,14,3
sin_6pi,500,11,498,15,0.0233939072830509,0.0056619210711384,14,14,14,13
sin_6pi,1000,11,994,31,0.0094506302380254,0.0341652135742152,38,34,22,14
sin_6pi,2000,11,1987,40,0.0036160911066392,0.008960522124803,81,66,46,30
sin_6pi,3500,11,3432,13,0.0011643857448497,0.0120244657367141,197,134,64,34
sin_6pi,5000,11,4861,2,0.0005997817567552,0.0052837102032271,318,180,71,33
sin_7pi,50,13,50,14,0.4037791226209442,0.0033623566783573,14,1,1,1
sin_7pi,100,13,100,15,0.3273088242226821,0.0043708133037154,15,8,2,2
sin_7pi,250,13,248,18,0.1836254938890742,0.0134460143996396,16,16,16,3
sin_7pi,500,13,500,17,0.0709185981256121,0.00638912446904,17,17,17,17
sin_7pi,1000,13,999,22,0.018652732792257,0.0068813804275485,23,21,21,20
sin_7pi,2000,13,1995,36,0.0081760866969354,0.0102591232098374,69,63,48,32
sin_7pi,3500,13,3470,34,0.0039423757512664,0.0079736154365588,146,116,76,48
sin_7pi,5000,13,4920,13,0.00195209444986,0.0338997934463931,267,185,89,48
poly_k3,50,3,47,29,2.433857272483964e-05,0.0038809972260759,5,3,2,1
poly_k3,100,3,87,45,3.749461651510098e-05,0.0013800471459567,6,4,2,2
poly_k3,250,3,159,35,1.1431647647501104e-05,0.0013896679242296,12,8,4,1
poly_k3,500,3,137,20,1.315273285681782e-05,0.0014185102943717,12,5,3,2
poly_k3,1000,3,133,11,1.2288801577723671e-05,0.002567114861009,13,8,2,1
poly_k3,1500,3,310,8,1.5470128058153158e-05,0.0052227657203266,22,11,4,1
poly_k3,2000,3,281,7,1.2581386983988925e-05,0.0013198709391761,27,8,2,1
poly_k3,3500,3,412,4,1.4873447114548491e-05,0.0029643114843341,37,10,2,1
poly_k3,5000,3,937,2,2.094148157683692e-05,0.0071941216454969,61,14,2,1
x_cubed,50,1,46,31,6.843920428821205e-05,0.0016090930976069,5,3,1,1
x_cubed,100,1,69,40,7.440011502259627e-05,0.0005537257949107,6,4,3,1
x_cubed,250,1,125,31,2.358435409889129e-05,0.0003195680797609,10,5,2,1
x_cubed,500,1,91,16,2.9186520014619088e-05,0.000346842080228,9,5,2,2
x_cubed,1000,1,148,13,2.714702964437588e-05,0.0027391148879764,16,7,1,1
x_cubed,1500,1,174,6,3.3163799995280985e-05,0.0021393416520589,20,12,2,1
x_cubed,2000,1,395,7,2.5543398767994505e-05,0.0014914424595406,34,8,2,1
x_cubed,3500,1,675,4,3.645852712266897e-05,0.0083934147941983,50,10,3,1
x_cubed,5000,1,765,4,3.2814659740568465e-05,0.0030174087506331,49,11,4,2
