target,m,T_original,k_true,run_category,initial_n_clusters,test_type,b_inject,a_inject_initial,a_inject_final,a_decayed,b_inject_final,b_merged,final_n_clusters,cluster_change,returned_to_k,approached_k
poly_k3,3500,500,3,above_k,4,natural,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0,0
sin_4pi,50,500,7,above_k,9,natural,N/A,N/A,N/A,N/A,N/A,N/A,9,0,0,0
sin_5pi,50,500,9,above_k,11,natural,N/A,N/A,N/A,N/A,N/A,N/A,11,0,0,0
sin_5pi,100,500,9,above_k,11,natural,N/A,N/A,N/A,N/A,N/A,N/A,11,0,0,0
sin_6pi,50,500,11,above_k,13,natural,N/A,N/A,N/A,N/A,N/A,N/A,13,0,0,0
sin_6pi,3500,500,11,above_k,13,natural,N/A,N/A,N/A,N/A,N/A,N/A,13,0,0,0
sin_7pi,50,500,13,above_k,14,natural,N/A,N/A,N/A,N/A,N/A,N/A,14,0,0,0
sin_7pi,100,500,13,above_k,15,natural,N/A,N/A,N/A,N/A,N/A,N/A,15,0,0,0
poly_k3,5000,500,3,below_k,2,isolated,1.0000,0.0100,0.0100,0,1.0000,0,2,0,0,0
poly_k3,5000,500,3,below_k,2,near,-0.9999,0.0100,0.0100,0,-0.9999,0,2,0,0,0
sin_2pi,1000,500,3,below_k,2,isolated,1.0000,0.0100,0.0100,0,0.9995,0,2,0,0,0
sin_2pi,1000,500,3,below_k,2,near,-0.9945,0.0100,0.0100,0,-0.9945,0,2,0,0,0
sin_2pi,1500,500,3,below_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,0,0
sin_2pi,1500,500,3,below_k,1,near,0.0532,0.0100,0.0100,0,0.0532,0,1,0,0,0
sin_2pi,2000,500,3,below_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,0,0
sin_2pi,2000,500,3,below_k,1,near,0.0397,0.0100,0.0100,0,0.0397,0,1,0,0,0
sin_2pi,3500,500,3,below_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,0,0
sin_2pi,3500,500,3,below_k,1,near,0.0455,0.0100,0.0100,0,0.0455,0,1,0,0,0
sin_2pi,5000,500,3,below_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,0,0
sin_2pi,5000,500,3,below_k,1,near,0.0488,0.0100,0.0100,0,0.0488,0,1,0,0,0
sin_1pi,1000,500,1,exact_k,1,isolated,-1.0000,0.0100,0.0100,0,-1.0000,0,1,0,1,1
sin_1pi,1000,500,1,exact_k,1,near,-0.0551,0.0100,0.0095,0,-0.0550,0,1,0,1,1
sin_1pi,1500,500,1,exact_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,1,1
sin_1pi,1500,500,1,exact_k,1,near,0.0539,0.0100,0.0099,0,0.0541,0,1,0,1,1
sin_1pi,2000,500,1,exact_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,1,1
sin_1pi,2000,500,1,exact_k,1,near,0.0406,0.0100,0.0098,0,0.0405,0,1,0,1,1
sin_1pi,3500,500,1,exact_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,1,1
sin_1pi,3500,500,1,exact_k,1,near,0.0462,0.0100,0.0100,0,0.0462,0,1,0,1,1
sin_1pi,5000,500,1,exact_k,1,isolated,1.0000,0.0100,0.0100,0,1.0000,0,1,0,1,1
sin_1pi,5000,500,1,exact_k,1,near,0.0492,0.0100,0.0100,0,0.0492,0,1,0,1,1
sin_3pi,1000,500,5,exact_k,5,isolated,1.0000,0.0111,0.0111,0,1.0000,0,5,0,1,1
sin_3pi,1000,500,5,exact_k,5,near,-0.1048,0.0111,0.0111,0,-0.1048,0,5,0,1,1
sin_4pi,1500,500,7,exact_k,7,isolated,0.5068,0.0125,0.0125,0,0.5068,0,7,0,1,1
sin_4pi,1500,500,7,exact_k,7,near,0.8211,0.0125,0.0125,0,0.8211,0,7,0,1,1
sin_7pi,5000,500,13,exact_k,13,isolated,0.3577,0.0105,0.0105,0,0.3577,0,13,0,1,1
sin_7pi,5000,500,13,exact_k,13,near,0.2718,0.0105,0.0105,0,0.2718,0,13,0,1,1
