neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
3102,-1.347703,0.301091,-7.194122e-03,1.198976e-03,3.982103e-03,1,0
561,-1.336957,0.291082,-7.151332e-03,1.159119e-03,3.982103e-03,1,0
1789,-1.336053,0.289118,-7.147731e-03,1.151296e-03,3.982103e-03,1,0
3571,-1.334116,0.287160,-7.140020e-03,1.143502e-03,3.982103e-03,1,0
4028,-1.326134,0.279677,-7.108231e-03,1.113704e-03,3.982103e-03,1,0
2170,-1.309217,0.262053,-7.040869e-03,1.043523e-03,3.982103e-03,1,0
418,-1.307590,0.260721,-7.034388e-03,1.038218e-03,3.982103e-03,1,0
2851,-1.303803,0.256473,-7.019307e-03,1.021303e-03,3.982103e-03,1,0
1459,-1.283035,0.235692,-6.936607e-03,9.385486e-04,3.982103e-03,1,0
3597,-1.271030,0.224306,-6.888801e-03,8.932097e-04,3.982103e-03,1,0
927,-1.267205,0.219600,-6.873571e-03,8.744713e-04,3.982103e-03,1,0
2070,-1.259473,0.212817,-6.842783e-03,8.474598e-04,3.982103e-03,1,0
1386,-1.258865,0.212718,-6.840359e-03,8.470631e-04,3.982103e-03,1,0
2537,-1.246975,0.200391,-6.793015e-03,7.979783e-04,3.982103e-03,1,0
4330,-1.244706,0.197794,-6.783978e-03,7.876366e-04,3.982103e-03,1,0
1526,-1.240851,0.195825,-6.768626e-03,7.797956e-04,3.982103e-03,1,0
1246,-1.230620,0.182907,-6.727886e-03,7.283555e-04,3.982103e-03,1,0
167,-1.230225,0.185360,-6.726315e-03,7.381244e-04,3.982103e-03,1,0
3694,-1.229458,0.183008,-6.723259e-03,7.287550e-04,3.982103e-03,1,0
3150,-1.222966,0.176548,-6.697408e-03,7.030304e-04,3.982103e-03,1,0
235,-1.205158,0.158638,-6.626492e-03,6.317114e-04,3.982103e-03,1,0
894,-1.204868,0.159528,-6.625340e-03,6.352567e-04,3.982103e-03,1,0
3370,-1.203371,0.155797,-6.619377e-03,6.204012e-04,3.982103e-03,1,0
2528,-1.197906,0.153772,-6.597615e-03,6.123361e-04,3.982103e-03,1,0
4695,-1.197623,0.149935,-6.596488e-03,5.970549e-04,3.982103e-03,1,0
4439,-1.196895,0.150271,-6.593588e-03,5.983955e-04,3.982103e-03,1,0
617,-1.192973,0.146751,-6.577970e-03,5.843770e-04,3.982103e-03,1,0
764,-1.191129,0.145606,-6.570629e-03,5.798164e-04,3.982103e-03,1,0
2144,-1.187731,0.140120,-6.557098e-03,5.579713e-04,3.982103e-03,1,0
1929,-1.173007,0.129114,-6.498467e-03,5.141468e-04,3.982103e-03,1,0
1238,-1.163591,0.117521,-6.460969e-03,4.679814e-04,3.982103e-03,1,0
1578,-1.162269,0.114187,-6.455707e-03,4.547026e-04,3.982103e-03,1,0
1844,-1.158894,0.112233,-6.442267e-03,4.469252e-04,3.982103e-03,1,0
1141,-1.151774,0.107238,-6.413913e-03,4.270311e-04,3.982103e-03,1,0
1729,-1.151224,0.107511,-6.411724e-03,4.281213e-04,3.982103e-03,1,0
401,-1.150305,0.102573,-6.408064e-03,4.084544e-04,3.982103e-03,1,0
3687,-1.144857,0.098565,-6.386368e-03,3.924971e-04,3.982103e-03,1,0
1396,-1.142586,0.093811,-6.377326e-03,3.735659e-04,3.982103e-03,1,0
3711,-1.142528,0.093800,-6.377093e-03,3.735232e-04,3.982103e-03,1,0
3404,-1.140050,0.094113,-6.367226e-03,3.747676e-04,3.982103e-03,1,0
3060,-1.133387,0.087358,-6.340694e-03,3.478668e-04,3.982103e-03,1,0
