neuron_idx,a_j,b_j
0,0.00348334,-0.19505674
1,0.01223503,-0.30840041
2,-0.00455843,-0.59692901
3,-0.00362468,-0.51647107
4,-0.01201006,0.52940181
5,-0.00209791,0.95514936
6,-0.00296113,-0.69208259
7,0.02039218,-0.29075732
8,-0.01987905,-0.04025834
9,0.01070712,-0.32389279
10,-0.01225464,0.75258058
11,-0.00338054,0.19394083
12,0.02381352,-0.34573012
13,-0.01436694,0.03742216
14,-0.00064397,0.32952618
15,-0.01463043,0.44017937
16,0.01509048,-0.80442367
17,-0.00814731,-0.34954067
18,0.00623038,0.71711901
19,-0.00359754,-0.03664044
20,0.02115704,0.30012132
21,-0.07837221,-0.99833559
22,0.02764045,0.91716236
23,0.00427548,0.51644135
24,-0.01383639,-0.78095120
25,-0.01956315,-0.01600099
26,0.00614901,-0.11193993
27,-0.00510464,0.26730292
28,-0.00151059,-0.44610766
29,0.01682627,0.62224614
30,0.00678508,-0.62650017
31,-0.08406557,-1.00000082
32,0.01524588,0.16662343
33,-0.00998482,-0.92727328
34,-0.06757051,-1.00000065
35,0.00485758,-0.09111440
36,0.00079056,0.38939487
37,-0.00324440,-0.57237384
38,0.00236587,0.94182954
39,-0.02000836,0.91504020
40,0.00062217,0.01145914
41,-0.01562342,-0.47604964
42,0.00440862,-0.30067257
43,-0.00624004,-0.11162611
44,0.00444904,-0.09115586
45,-0.00300679,-0.32420830
46,-0.00129839,-0.15889158
47,-0.00211886,-0.42515009
48,0.22565501,-1.27423571
49,0.01950180,0.91053912
50,0.01019027,0.88238096
51,0.01568932,0.79895348
52,-0.00847027,0.26734366
53,0.01700448,-0.05259562
54,0.01381807,-0.28430545
55,-0.00292727,-0.05678359
56,0.17104951,-1.22000181
57,0.00421210,-0.20423163
58,-0.00180933,-0.01843909
59,0.00993247,0.24086287
60,0.20706906,-1.25456460
61,-0.00248182,0.83405625
62,-0.01774267,0.31822063
63,0.00605854,-0.38087052
64,-0.01196990,0.00558795
65,0.00230837,0.11508775
66,0.00368893,0.03850663
67,0.00934128,-0.87951104
68,0.00409928,0.08220907
69,-0.00335743,-0.37933442
70,-0.00566770,0.44186674
71,-0.02200296,0.34404404
72,0.00534049,0.53822100
73,0.28198468,-1.32967879
74,0.00215180,-0.02999909
75,-0.01142543,0.41963584
76,0.00772704,-0.49255154
77,-0.00576732,0.93404515
78,-0.00142760,0.86476557
79,0.01905763,0.86751810
80,0.00024980,-0.14119522
81,-0.07884391,-1.00000076
82,0.00629438,-0.28681111
83,-0.00016730,-0.70652613
84,-0.01102304,-0.37106777
85,0.00243447,-0.41197583
86,0.00732232,0.18993233
87,-0.01031855,0.52597486
88,0.01408605,-0.44474684
89,-0.00851011,0.55835750
90,-0.01634550,-0.55263767
91,-0.00286684,0.42691060
92,-0.01559852,0.58473649
93,0.00393414,0.19314513
94,-0.01320468,0.41853293
95,-0.00694839,0.40885809
96,-0.00925993,0.94199339
97,0.00145115,-0.45488610
98,0.00501668,-0.39031856
99,0.00114012,-0.61750446
100,-0.02180282,0.68747089
101,0.05992984,-1.10524751
102,0.00404659,0.00701824
103,-0.01821520,-0.47988567
