target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
poly_k3,50,200,3,29,2.525500e-02,13.974789,3.529333e-01,4.077008e-04,1,0.001155,1.848764e-02,1.846558e-02
poly_k3,50,500,3,29,2.693700e-02,14.603344,3.933703e-01,2.579446e-03,1,0.006557,7.793087e-03,6.977148e-03
poly_k3,50,1000,3,30,3.037000e-02,14.874794,4.517475e-01,5.113966e-04,1,0.001132,3.698281e-03,3.643836e-03
poly_k3,50,5000,3,36,1.763800e-02,15.145094,2.671292e-01,2.189881e-04,1,0.000820,1.347836e-03,1.353039e-03
poly_k3,50,10000,3,36,1.791600e-02,15.171313,2.718092e-01,2.474294e-04,1,0.000910,2.008492e-03,2.101032e-03
poly_k3,100,200,3,41,8.922400e-02,15.237454,1.359547e+00,3.180097e-03,1,0.002339,1.736109e-02,1.690018e-02
poly_k3,100,500,3,45,4.091800e-02,15.696137,6.422545e-01,5.434980e-04,1,0.000846,8.762099e-03,8.659552e-03
poly_k3,100,1000,3,46,4.714500e-02,15.940169,7.514993e-01,9.260507e-04,1,0.001232,5.198730e-03,5.019360e-03
poly_k3,100,5000,3,55,3.797300e-02,16.274042,6.179742e-01,6.591641e-04,1,0.001067,1.150974e-03,1.080479e-03
poly_k3,100,10000,3,58,3.371300e-02,16.314496,5.500106e-01,5.138813e-04,1,0.000934,6.635838e-04,6.674018e-04
poly_k3,250,200,3,37,1.324120e-01,18.705046,2.476773e+00,6.569146e-03,1,0.002652,1.290945e-02,1.144264e-02
poly_k3,250,500,3,35,2.304510e-01,19.103262,4.402366e+00,3.145640e-02,1,0.007145,3.135505e-02,4.780474e-03
poly_k3,250,1000,3,33,2.312400e-01,19.224793,4.445541e+00,2.797428e-02,1,0.006293,2.787602e-02,2.874627e-03
poly_k3,250,5000,3,36,2.333330e-01,19.336498,4.511843e+00,2.467136e-02,1,0.005468,2.374395e-02,1.411476e-03
poly_k3,250,10000,3,34,3.779240e-01,19.366263,7.318976e+00,3.713754e-02,1,0.005074,3.717643e-02,6.143473e-04
poly_k3,500,200,3,20,1.202311e+00,20.506203,2.465483e+01,6.365547e-01,1,0.025819,6.352245e-01,1.261477e-02
poly_k3,500,500,3,20,1.202984e+00,20.628758,2.481607e+01,5.990665e-01,1,0.024140,5.985586e-01,5.129157e-03
poly_k3,500,1000,3,19,1.202571e+00,20.701700,2.489526e+01,6.059047e-01,1,0.024338,6.057169e-01,2.814878e-03
poly_k3,500,5000,3,20,1.202139e+00,20.681120,2.486158e+01,6.314187e-01,1,0.025397,6.309916e-01,8.681661e-04
poly_k3,500,10000,3,19,1.202054e+00,20.706068,2.488981e+01,6.357705e-01,1,0.025543,6.355094e-01,5.165017e-04
