neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
2571,-1.052887,-0.137039,-2.471977e-03,-1.522955e-04,1.111326e-03,1,0
3359,-1.046116,-0.128859,-2.464453e-03,-1.432041e-04,1.111326e-03,1,0
340,-1.044686,-0.126745,-2.462863e-03,-1.408545e-04,1.111326e-03,1,0
289,-1.043541,-0.124567,-2.461591e-03,-1.384345e-04,1.111326e-03,1,0
3146,-1.041304,-0.123449,-2.459106e-03,-1.371919e-04,1.111326e-03,1,0
2517,-1.040850,-0.133096,-2.458601e-03,-1.479136e-04,1.111326e-03,1,0
2318,-1.039171,-0.120861,-2.456735e-03,-1.343158e-04,1.111326e-03,1,0
2301,-1.036897,-0.122058,-2.454208e-03,-1.356466e-04,1.111326e-03,1,0
2827,-1.036639,-0.115681,-2.453921e-03,-1.285595e-04,1.111326e-03,1,0
1914,-1.035302,-0.126169,-2.452435e-03,-1.402153e-04,1.111326e-03,1,0
1686,-1.030567,-0.113782,-2.447173e-03,-1.264486e-04,1.111326e-03,1,0
542,-1.028271,-0.105489,-2.444621e-03,-1.172328e-04,1.111326e-03,1,0
2135,-1.025898,-0.110997,-2.441984e-03,-1.233540e-04,1.111326e-03,1,0
3286,-1.024701,-0.108489,-2.440654e-03,-1.205667e-04,1.111326e-03,1,0
2117,-1.022678,-0.111369,-2.438405e-03,-1.237676e-04,1.111326e-03,1,0
2097,-1.021727,-0.111171,-2.437349e-03,-1.235469e-04,1.111326e-03,1,0
464,-1.020103,-0.103600,-2.435544e-03,-1.151332e-04,1.111326e-03,1,0
1511,-1.017851,-0.102451,-2.433041e-03,-1.138564e-04,1.111326e-03,1,0
2461,-1.017639,-0.096099,-2.432805e-03,-1.067977e-04,1.111326e-03,1,0
947,-1.017447,-0.105449,-2.432593e-03,-1.171886e-04,1.111326e-03,1,0
3478,-1.016930,-0.092853,-2.432018e-03,-1.031904e-04,1.111326e-03,1,0
110,-1.016747,-0.113080,-2.431814e-03,-1.256687e-04,1.111326e-03,1,0
3296,-1.015704,-0.088480,-2.430655e-03,-9.832981e-05,1.111326e-03,1,0
799,-1.014522,-0.098477,-2.429342e-03,-1.094402e-04,1.111326e-03,1,0
3433,-1.012637,-0.097911,-2.427247e-03,-1.088114e-04,1.111326e-03,1,0
865,-1.009655,-0.097600,-2.423933e-03,-1.084652e-04,1.111326e-03,1,0
2794,-1.009281,-0.094957,-2.423517e-03,-1.055276e-04,1.111326e-03,1,0
2067,-1.008450,-0.095016,-2.422594e-03,-1.055936e-04,1.111326e-03,1,0
2047,-1.006801,-0.092951,-2.420761e-03,-1.032987e-04,1.111326e-03,1,0
3138,-1.006457,-0.089493,-2.420379e-03,-9.945630e-05,1.111326e-03,1,0
3426,-1.006397,-0.090912,-2.420312e-03,-1.010333e-04,1.111326e-03,1,0
