neuron_idx,a_j,b_j
0,0.03184762,0.27973901
1,-0.09313849,0.05986163
2,-0.05814145,0.05237906
3,-0.11892062,-0.34781852
4,-0.11751108,0.61981181
5,-0.09675562,-0.89825020
6,-0.12186088,-0.33836173
7,-0.06831413,0.04669819
8,-0.11847904,0.10765547
9,-0.11993929,0.66283569
10,0.08266904,0.43122809
11,0.13022311,-0.65296218
12,-0.13368333,-0.85836054
13,0.04850491,-0.99138381
14,-0.05605406,0.70685463
15,0.06549763,-0.19522304
16,0.11606044,-0.09250522
17,0.12063476,0.41707690
18,0.10728639,0.38692505
19,-0.11396870,0.12978452
20,-0.06287475,0.04501035
21,0.12684603,-0.64541460
22,-0.11156185,-0.90108931
23,0.13395920,-0.61540516
24,0.01380618,0.99026211
25,-0.11477330,-0.40251434
26,0.12402436,0.37571497
27,0.08265538,-0.55672726
28,-0.09259286,0.18479624
29,0.12506543,-0.66332358
30,0.11960638,0.41081189
31,-0.12632096,-0.83839673
32,-0.05592783,-0.29648037
33,0.09081091,-0.07289854
34,-0.10578955,0.17374874
35,-0.05623040,-0.29648035
36,0.08890193,-0.18462662
37,-0.10616095,0.62590943
38,0.11543856,-0.67407419
39,-0.10448877,0.13315584
40,-0.11052023,-0.32956464
41,0.08505747,-0.18346639
42,0.08600975,0.43519054
43,0.11746025,-0.11559254
44,0.10273311,0.31861727
45,-0.04863559,-0.45453997
46,-0.10076604,0.67419705
47,-0.09729202,0.57252466
48,0.09454692,-0.17510838
49,-0.04280386,-0.28750566
50,-0.05870741,-0.30389538
51,-0.11423337,0.14926467
52,-0.14295397,-0.85874516
53,-0.11830894,-0.42133004
54,0.12444625,0.83536315
55,0.11194438,-0.17079782
56,-0.12037627,0.62147348
57,-0.10170925,-0.38471939
58,-0.11453339,-0.35914519
59,-0.11267676,0.15675188
60,-0.04866524,-0.91043381
61,0.00034952,-0.00162590
62,-0.13111934,-0.85437866
63,0.04089319,-0.04438341
64,-0.11300568,0.64746809
65,0.10448081,-0.08982228
66,0.13513251,-0.66472185
67,-0.08602452,0.05656798
68,0.09518359,0.90438755
69,-0.11171121,0.13396420
70,0.08229290,0.92142840
71,0.05787348,0.45546415
72,0.12980274,-0.14574999
73,-0.10119841,-0.43401986
74,-0.12857512,0.65829309
75,-0.08538261,-0.44347951
76,0.03817678,-0.53101718
77,0.11451687,0.90854822
78,0.02146445,-0.52030748
79,-0.11885314,-0.83478673
80,-0.09277371,-0.82205612
81,0.02877037,-0.72065304
82,-0.08456885,0.68913948
83,0.03157331,0.47069481
84,0.12502435,0.33675271
85,0.10724180,-0.08041947
86,-0.12542930,0.64824259
87,0.12106099,0.37591797
88,0.00522158,0.98440413
89,-0.07771270,-0.30644132
90,-0.09041668,-0.81485286
91,0.08866071,-0.55973316
92,0.09388372,-0.17886976
93,0.10435808,-0.10443882
94,-0.03237319,0.71763984
95,-0.10008015,0.67966820
96,0.05703690,-0.05375188
97,-0.11516871,0.67702689
98,0.09767581,-0.17983509
99,0.09621052,-0.68710074
100,-0.11260212,0.12882348
101,0.13637483,0.85005592
102,-0.13010218,-0.34190298
103,-0.01229913,0.23612255
104,0.20197363,-1.02362532
105,0.11909775,-0.10051861
106,0.06189691,0.79899287
107,-0.09356799,-0.82652378
108,0.09992474,-0.67813105
109,0.06904338,-0.69852790
110,-0.09341894,0.18372790
111,-0.08639872,0.56109621
112,0.19045533,-1.00975150
113,-0.12724728,-0.38791285
114,-0.08726789,0.55597655
115,0.02781437,0.28056688
116,-0.07648715,-0.44241936
117,-0.06595647,0.19168875
118,-0.08738779,0.19392394
119,0.03112446,0.46854780
120,0.13541711,0.89949572
121,0.02827999,-0.22385104
122,-0.10787712,0.17459862
123,0.10919245,0.37510284
124,0.10374035,0.90550181
125,0.10474339,-0.10756992
126,0.10503737,0.41589019
127,0.05123872,0.93737214
128,0.08460793,0.42651329
129,0.12678215,-0.66556845
130,0.05956459,0.93796508
131,0.04062647,-0.04378882
132,0.10575352,-0.15672142
133,0.08051753,-0.18516937
134,0.04299530,0.95261139
135,-0.10104788,0.60107744
136,0.07411722,-0.05358052
137,-0.11037809,0.14511987
138,0.13486349,0.88944520
139,0.10773354,-0.17735719
140,0.13458303,0.82672387
141,0.09493319,-0.55816409
142,0.02330161,-0.02396019
143,-0.09547383,-0.43690616
144,-0.12414546,-0.42443194
145,0.02124013,-0.02289277
146,-0.02869161,0.22345673
147,-0.12224749,-0.40379180
148,0.11869795,-0.58147710
149,0.12155706,0.84924297
150,-0.00589667,-0.48817456
151,0.10813279,-0.56561905
152,0.12739712,-0.60691834
153,-0.09609478,0.68544183
154,0.09051911,-0.07032634
155,-0.06833218,-0.30500494
156,0.13623488,-0.67096490
157,0.13835192,-0.62414893
158,-0.09447035,0.19020067
159,-0.11887835,0.64233587
160,-0.12382412,0.14329791
161,0.08892015,-0.06712798
162,0.11875328,-0.57287765
163,0.05729341,-0.05071072
164,0.11936393,-0.57940033
165,0.03005015,-0.22188462
166,0.08701391,-0.07243212
167,-0.11320593,-0.83172005
168,0.11506857,0.40142763
169,-0.13396652,-0.40229474
170,-0.11373868,0.61977524
171,0.14380539,-1.00000436
172,-0.11423718,-0.84659365
173,0.12491467,0.39367930
174,0.07742529,-0.19287586
175,-0.07675485,-0.90566532
176,-0.13092377,-0.85816308
177,0.05690437,-0.06015530
178,-0.07818722,-0.80830020
179,-0.13094854,-0.89151378
180,-0.11407223,-0.37331148
181,-0.12422416,0.14167531
182,-0.11857149,-0.41447156
183,0.14627115,-1.00000449
184,0.12425207,0.84943131
185,0.07355501,0.44120827
186,-0.09647505,-0.81603021
187,0.13457233,-0.62338240
188,-0.05710898,0.70448282
189,-0.08363693,0.19279817
190,0.07281937,0.44159199
191,0.14179189,-0.58926826
192,0.12281640,-0.12955146
193,-0.03582904,-0.28411239
194,-0.00867640,0.24454301
195,0.09050618,-0.55790728
196,0.00949488,-0.50740669
197,0.14924270,-1.00000449
198,-0.10073958,0.07714554
199,0.09426204,-0.18256074
200,-0.10951460,-0.89820139
201,0.04852654,-0.04917004
202,0.10749134,-0.14205609
203,0.10097915,-0.57170115
204,0.08957919,-0.07018767
205,-0.09719460,0.06397349
206,0.14717486,-1.00000431
207,0.09771825,0.42713008
208,0.08330919,0.43488941
209,0.10323354,-0.68846575
210,0.07794817,0.92652956
211,0.10736504,0.34980448
212,-0.12540287,0.62162415
213,-0.04121904,0.70854311
214,0.02021953,-0.22776602
215,-0.12933615,-0.88783584
216,0.05387381,0.93969806
217,0.09741821,-0.68910066
218,0.10930632,0.33480977
219,-0.10364163,-0.43532980
220,0.03189730,-0.52847312
221,0.11190402,-0.57404692
222,-0.10731647,-0.90040714
223,0.10780378,0.91959688
224,-0.12394437,0.63498850
225,0.08210603,0.80904167
226,-0.11809505,-0.41806996
227,-0.01350385,0.73251035
228,-0.08504078,-0.43691340
229,-0.11042262,0.59992399
230,-0.12728571,-0.37686072
231,0.10640017,-0.67546174
232,0.19520434,-1.01892511
233,0.08139154,0.30793455
234,0.13729571,-0.63454905
235,0.13047600,-0.58999860
236,-0.09237545,0.55976249
237,0.14023856,0.84123241
238,0.12108488,0.86436756
239,-0.12311158,-0.33513766
240,0.00346839,0.75001361
241,0.11834409,0.34188455
242,-0.05490858,-0.79371774
243,0.08142188,-0.55736670
244,0.07438110,0.44067686
245,0.04004958,-0.04253881
246,-0.13313669,0.09024931
247,-0.11150334,0.58101540
248,0.07727741,0.43648030
249,0.13927530,-0.59854005
250,-0.07937131,0.19343702
251,-0.10200434,0.16380414
252,-0.07155173,-0.44355695
253,0.13131928,0.89949578
254,-0.11261268,-0.89022983
255,-0.09380558,0.57103697
256,-0.11762451,0.66479491
257,0.12873701,0.82453837
258,0.10185032,-0.56841488
259,0.09955669,0.31871347
260,-0.10809003,-0.34417288
261,0.13136734,-0.59467961
262,-0.03346746,-0.28324349
263,-0.12754903,0.62512846
264,-0.02359266,-0.47617929
265,-0.10496274,0.16528409
266,0.12435882,0.40152646
267,-0.08590968,0.68742481
268,-0.08435095,-0.31226863
269,-0.10599378,-0.82172544
270,0.11359283,0.32493120
271,-0.12458965,-0.88084338
272,0.08981571,-0.68395819
273,-0.12913601,-0.37229975
274,-0.11582558,-0.87036999
275,0.09835114,0.81795582
276,-0.10934694,0.59800442
277,-0.11513097,-0.89928128
278,-0.08017154,-0.80858730
279,-0.12551571,-0.35219212
280,-0.03908805,-0.78312267
281,-0.10880897,0.56601955
282,-0.02972002,-0.46962379
283,0.03152918,-0.52581786
284,0.01921556,-0.22543596
285,-0.10884922,-0.89394423
286,0.12096635,-0.66141846
287,0.09424218,0.92254979
288,0.10497460,-0.65501934
289,0.14611047,0.86555143
290,0.08138374,-0.68946050
291,0.10887927,-0.13330244
292,-0.04799209,-0.28796615
293,-0.13398865,-0.88866291
294,-0.06982892,0.55747712
295,0.10069001,0.32135963
296,-0.09908653,0.67967090
297,-0.09722673,0.06242870
298,-0.11396276,0.14461320
299,0.04945194,0.45526858
300,-0.10285444,-0.82118882
301,0.18770025,-1.00000575
302,0.11985332,-0.14348651
303,-0.10038654,0.17410963
304,-0.07484491,-0.90593643
305,-0.04406364,0.54094799
306,0.11620157,-0.68022839
307,-0.13474673,0.65333848
308,-0.12024708,-0.90043418
309,0.15373963,0.87880385
310,0.11885193,-0.67461275
311,-0.11658787,-0.35070992
312,-0.10698398,0.16136265
313,-0.05256937,-0.79462367
314,0.14121138,0.87915863
315,-0.11891689,0.66270928
316,0.12877821,-0.10045901
317,-0.12847019,-0.85361407
318,-0.09333092,0.18928548
319,0.10179693,-0.09556728
320,-0.02703678,-0.77304073
321,-0.12454906,0.10806366
322,0.10210782,-0.08882532
323,0.09119237,-0.07051987
324,0.08945237,0.38692661
325,0.10406907,-0.56928753
326,0.09657605,-0.55930622
327,0.14330654,-0.60514456
328,-0.10819405,-0.32401284
329,-0.09005164,0.69222934
330,0.10395957,-1.00000305
331,-0.02973219,0.22300975
332,0.10869138,-0.13494154
333,0.13437010,0.89949574
334,-0.10515464,-0.43075167
335,0.14556681,-0.61605128
336,0.12291221,0.37572584
337,-0.11738569,0.60351909
338,0.08126386,0.43368714
339,-0.12490577,0.14514189
340,-0.10539539,0.60271617
341,-0.09463464,-0.43949733
342,-0.09638294,0.06540970
343,-0.12905688,-0.41322439
344,0.11113098,-0.14227625
345,-0.10438871,-0.89983749
346,0.10520910,0.39227872
347,0.12607304,-0.12755157
348,0.06619805,-0.19717482
349,0.05096521,0.94829017
350,-0.04793257,0.70854317
351,-0.02778995,0.02573315
352,0.14629411,0.35895054
353,-0.12815541,-0.85791824
354,-0.11969038,-0.82911435
355,-0.07004704,-0.30563232
356,0.13784970,0.86420318
357,-0.06960512,-0.30497333
358,-0.09273424,0.06012267
359,-0.09024548,0.56273135
360,-0.11106025,0.59174474
361,-0.12762432,-0.84247289
362,-0.13309033,-0.38873774
363,0.17987474,-1.00000542
364,0.11591888,0.34128907
365,-0.09239659,-0.34732198
366,-0.06535505,0.69849330
367,-0.12306081,-0.41589071
368,-0.12072874,0.08968943
369,0.00725125,-0.74038814
370,-0.11046258,0.17488633
371,0.08086067,0.92416462
372,0.14550535,0.84095340
373,-0.00121104,0.98892477
374,0.11929604,0.41707540
375,0.12184411,0.89949589
376,-0.12922128,-0.40950609
377,0.03383568,0.47121155
378,0.03508586,0.95523453
379,0.06762515,-0.69521162
380,-0.09818210,-0.32129353
381,0.11909417,0.32472997
382,-0.06914088,0.19563291
383,0.09931342,0.31397077
384,0.07916297,0.93222515
385,-0.04770511,-0.29206242
386,-0.05191545,-0.45502132
387,-0.08630023,0.18982306
388,0.08119832,-0.55966667
389,-0.12072392,0.64169330
390,-0.09363792,0.16956634
391,-0.12737570,-0.89836893
392,0.11613473,-0.08977519
393,0.09139960,0.43241087
394,0.03918830,-0.21115634
395,-0.11350052,-0.33893683
396,0.13831822,-0.66657796
397,0.06319602,0.44658905
398,0.11265944,0.41707750
399,0.12276695,-0.10836093
400,-0.13011847,-0.84047530
401,0.09077962,-0.55861697
402,-0.06532596,-0.30507948
403,-0.05603550,-0.29648036
404,-0.11060675,0.09448694
405,0.06260340,-0.69852775
406,0.08260586,-0.18495784
407,0.10571618,0.40295700
408,0.11474175,0.90954640
409,-0.12419411,0.13243065
410,0.10672613,-0.14631658
411,0.10410986,-0.57099806
412,-0.10595495,0.06181233
413,-0.07520676,-0.80301068
414,-0.04828013,-0.45686891
415,0.04492212,-0.53867243
416,0.07989548,-0.05844980
417,-0.11035760,-0.33884675
418,0.12992845,0.88944469
419,-0.13072245,0.13474002
420,-0.04581137,0.54693842
421,0.08950918,-0.08655922
422,0.10341262,-0.17307690
423,-0.07787129,-0.43727037
424,-0.10264119,0.17846708
425,-0.03492967,-0.46720040
426,0.04265572,0.78533424
427,0.23279942,-1.05527947
428,-0.10115434,0.08596016
429,-0.11103964,0.60039450
430,0.11258580,0.37157825
431,0.10671804,0.41056875
432,-0.08501643,-0.31389590
433,0.07984696,-0.55844468
434,0.11855059,0.89949594
435,0.07054360,0.79899257
436,-0.05836105,-0.79376018
437,-0.08152157,-0.43754773
438,0.18204455,-1.00799071
439,-0.10612182,-0.32466148
440,0.04398579,-0.20983509
441,-0.07717971,-0.30478546
442,-0.12152223,0.10744752
443,-0.10709156,0.13313033
444,0.13026999,0.35982709
445,-0.07308073,-0.90567870
446,0.07311440,-0.06325033
447,0.10335047,-0.09029321
448,0.10821706,-0.16278783
449,-0.02775401,-0.46951647
450,0.13567865,0.38664538
451,0.09941800,0.91557526
452,-0.06978912,0.69186657
453,-0.11121178,0.07656677
454,-0.02442462,-0.27283487
455,0.09474705,-0.68210705
456,0.11266996,-0.14373945
457,-0.05028528,-0.45729377
458,-0.12134821,0.16484208
459,-0.12051758,-0.35085962
460,0.08325297,-0.69101705
461,-0.12335493,0.64235166
462,-0.10803586,0.08987010
463,-0.13863909,-0.88504480
464,0.10771357,-0.68332906
465,0.11273056,-0.12735409
466,0.14687760,-1.00000436
467,0.12036756,-0.61819231
468,0.11865564,0.40220677
469,0.13548848,-0.63852171
470,-0.04125601,0.53887668
471,-0.13578769,-0.88862431
472,-0.10916039,-0.40129374
473,0.10014008,-0.15385181
474,0.09906777,0.43186424
475,-0.11530709,0.12039887
476,0.07686674,-0.69151578
477,-0.09309202,0.15848775
478,-0.13741701,-0.88826822
479,-0.09536746,-0.90305160
480,-0.10405132,0.57575184
481,0.14400303,-0.61986517
482,0.11843380,0.33835918
483,0.13957169,0.84278545
484,0.13059463,0.88944507
485,-0.07712045,0.19384162
486,0.09140106,-0.68453849
487,0.05912937,0.29936152
488,0.02464241,-0.02583573
489,-0.09023203,-0.31166225
490,-0.11557480,0.60008579
491,-0.13381688,0.15389697
492,-0.06144251,-0.45006678
493,0.12210739,-0.63384710
494,-0.10064805,0.58555057
495,-0.14019354,-0.84304498
496,-0.07944899,-0.30979721
497,-0.11640088,-0.37412229
498,-0.10956246,0.15288588
499,-0.09170421,0.06462623
500,0.13663169,0.88944517
501,-0.08828633,0.18543683
502,-0.11618008,-0.38681674
503,-0.07799046,0.55832322
504,-0.11495468,0.59020989
505,-0.13636262,0.13425428
506,0.03948376,0.28662938
507,-0.10007711,-0.33403920
508,-0.09405906,0.18828316
509,-0.06366879,0.20390835
510,-0.11640108,-0.34930106
511,-0.09985760,0.58317328
512,0.09877439,-0.18246342
513,-0.12904460,0.08835592
514,-0.05261907,0.20603163
515,0.13227057,-0.61620149
516,0.12982388,0.83285597
517,-0.11068901,0.56605191
518,0.11117419,0.91795576
519,0.00194391,0.25378956
520,0.11642292,0.33326775
521,-0.07139480,-0.30492863
522,-0.09867141,-0.90351578
523,0.07044080,-0.05681027
524,-0.13275357,-0.88707410
525,0.11657267,0.37580080
526,0.08823439,-0.69021959
527,0.06112692,0.30011549
528,-0.08913643,-0.31271484
529,0.12390083,-0.12864266
530,-0.07652918,-0.30603336
531,0.05430418,-0.54313592
532,0.12855851,0.35752621
533,0.12277539,-0.14298786
534,0.10696571,0.91959690
535,0.05716432,0.45630076
536,0.09357292,-0.68699991
537,-0.12745070,0.63610742
538,0.08919527,0.43841290
539,0.10967052,0.31736086
540,0.10557063,0.91501034
541,0.08156329,0.80904169
542,0.13375051,-0.60399374
543,0.04580677,0.29647787
544,-0.10904810,0.62442584
545,-0.09511273,-0.90228363
546,-0.09607026,0.56898470
547,0.07539712,-0.54907712
548,0.10736297,-0.17753269
549,-0.12798177,-0.37024887
550,0.07828982,-0.18506675
551,-0.12327432,-0.42811119
552,-0.07101036,-0.30493848
553,0.09018643,-0.56004609
554,-0.07445622,-0.80632759
555,-0.11353228,-0.89825712
556,-0.09913152,-0.43523895
557,-0.11477613,0.07941180
558,-0.10438819,0.05984564
559,-0.06294404,0.19644623
560,-0.12487077,0.62484827
561,0.02336155,-0.22765565
562,-0.04170291,0.53586584
563,0.08741316,0.80904148
564,0.11541641,-0.10038199
565,0.00228877,0.99247875
566,0.06955652,-0.19236224
567,0.11990264,-1.00000354
568,0.10423310,0.32208844
569,0.13979496,0.86934358
570,0.07079844,-0.05900753
571,0.11967089,0.89579902
572,0.10652558,-0.56276166
573,-0.10081817,-0.89923429
574,-0.10477799,0.57834786
575,-0.06044464,0.54377183
576,-0.00529724,-0.75304000
577,-0.11231078,-0.35814406
578,0.03493781,0.46676711
579,0.10516745,0.91634351
580,0.12507795,-0.14443192
581,-0.11406647,0.66319854
582,-0.03018125,-0.27985282
583,0.13257583,0.89949576
584,-0.11350407,-0.39751020
585,-0.13776381,-0.38942090
586,-0.12056122,-0.89123718
587,-0.07851815,0.05166439
588,-0.13499095,-0.41608040
589,0.02823739,-0.72101098
590,-0.12398470,0.16824813
591,0.11826558,0.36048381
592,-0.14380444,0.13384490
593,0.07722892,0.80904194
594,-0.12452732,0.13260690
595,-0.12079937,-0.35891889
596,0.06343162,0.93332140
597,-0.12778484,0.64723867
598,-0.11333080,0.07130203
599,-0.03009057,0.21702293
600,-0.10794255,-0.32545676
601,0.09655027,0.31663282
602,-0.05617417,0.69849319
603,-0.13538347,0.61811061
604,0.09402329,-0.12707751
605,0.01007360,0.75832075
606,-0.00452704,-0.49399623
607,-0.11917022,0.16749842
608,-0.12457512,-0.38445489
609,0.06055876,-0.69852774
610,-0.08594167,0.69478065
611,-0.06036127,0.54815094
612,-0.13049662,0.14555025
613,0.13643169,-0.58795311
614,-0.08437343,0.05684010
615,0.13662051,0.40351739
616,0.01457155,0.26332802
617,0.08809629,0.31361673
618,-0.09916589,0.17699717
619,-0.11218185,0.67102329
620,-0.11568955,-0.33114169
621,0.12409852,-0.62383818
622,0.13440202,0.37559254
623,0.00996799,0.25671035
624,-0.08577171,-0.90328916
625,-0.11948586,-0.41487485
626,-0.12238268,0.65787635
627,0.04109528,-0.03783390
628,0.10332369,-0.07561358
629,-0.12875149,-0.35823480
630,-0.06712778,0.55221194
631,-0.11488684,0.67792794
632,-0.02463041,-0.77161300
633,-0.07996204,-0.31290016
634,-0.05486126,0.04503456
635,-0.09708351,-0.90285775
636,-0.05043850,-0.29021469
637,-0.10542345,0.67599211
638,0.04345821,0.28779194
639,-0.10076988,-0.81547052
640,0.10434384,-0.08746604
641,0.11751415,0.33255526
642,-0.10012312,0.07570812
643,0.13393944,-0.65088167
644,0.10419516,-0.08278478
645,0.11231010,0.90954642
646,0.10962690,0.34458709
647,0.05829552,0.79420697
648,-0.07438815,0.55642666
649,-0.10765010,0.09691238
650,-0.09097847,0.19068864
651,0.01562232,0.26837392
652,-0.08172007,0.05596662
653,0.10950619,0.82932480
654,0.01608532,0.97527288
655,-0.12320284,-0.41024657
656,0.10193486,0.91695180
657,0.13164294,0.84924257
658,-0.14159504,0.62211183
659,-0.07648194,0.69444707
660,-0.06514398,-0.79899321
661,0.11726001,0.91324190
662,0.13140942,0.82592528
663,-0.11081125,-0.41648064
664,-0.10397665,0.67268931
665,-0.13961054,-0.41427257
666,0.04185376,0.78346917
667,-0.10827918,0.62190646
668,0.07619752,-0.69495194
669,0.08392216,-0.06522231
670,0.13177884,-0.64464509
671,0.09479874,-0.08046215
672,0.07186647,0.93193302
673,-0.07141519,0.69557771
674,-0.11525140,0.11101880
675,0.13130558,0.87939416
676,-0.00895660,0.99810885
677,0.09765377,0.43514375
678,-0.13396278,-0.84529817
679,-0.08490239,-0.80506484
680,-0.10190135,0.59424757
681,0.13052895,0.35131685
682,0.11493422,-0.14457215
683,-0.00301784,0.24476917
684,0.12528754,0.35339707
685,0.09811340,0.91686344
686,-0.12410123,-0.88775024
687,-0.13173514,0.62350110
688,0.00606194,0.49059651
689,-0.10139750,0.18410258
690,0.05119315,0.45613634
691,0.06884990,-0.05368436
692,-0.07357979,-0.30487463
693,-0.11238803,0.14724077
694,0.09320549,-0.12910105
695,0.04020043,-0.53738274
696,0.12817887,0.82940052
697,0.05797534,0.29647666
698,0.07306541,0.30499793
699,0.02739341,0.27485733
700,-0.13885825,-0.89052888
701,-0.09886962,-0.43507601
702,-0.14490114,-0.35860689
703,0.11165035,0.33049116
704,-0.11136125,0.15783858
705,0.12609568,0.83462772
706,0.10077464,0.81828584
707,-0.12019538,-0.88981306
708,0.12031914,0.90888904
709,-0.11942998,0.10770718
710,-0.12536843,0.62232588
711,-0.09204360,-0.43594915
712,-0.09718332,-0.81491859
713,-0.10026376,0.06819485
714,-0.09319779,-0.90229374
715,-0.11566180,0.08981513
716,-0.08206874,0.55595526
717,0.05647446,-0.05302639
718,-0.08963538,0.56608679
719,-0.08815459,0.18995707
720,-0.12234507,-0.38728996
721,-0.12785993,0.12243971
722,-0.05422282,0.04503648
723,0.11751404,0.40702488
724,0.11234344,-0.10445820
725,0.03856248,-0.03677285
726,0.01649311,0.76073357
727,0.13722110,0.86362612
728,-0.11545533,-0.84236431
729,0.22178654,-1.04443788
730,-0.12058140,-0.40245649
731,-0.11464930,0.08792572
732,-0.10323357,-0.31894329
733,-0.00642419,0.50612073
734,-0.11752704,0.62138765
735,-0.13089123,-0.89200557
736,0.10700068,0.92102026
737,0.11205371,0.41138735
738,0.05318053,-0.70172706
739,-0.12355851,0.63819230
740,0.11364491,-0.11559205
741,-0.09394221,-0.90310400
742,0.10165014,-0.15827862
743,0.11854464,0.34226964
744,-0.12583222,0.58337676
745,0.11006696,-0.13148316
746,-0.11932760,-0.37405090
747,0.13188305,-0.63424767
748,0.07854867,-0.55479670
749,-0.07095822,-0.44352006
750,-0.08142769,0.55855661
751,-0.09296624,0.55868636
752,-0.09377658,-0.90151098
753,0.06464215,0.44827192
754,0.11298522,-1.00000346
755,0.05858617,-0.70099147
756,0.09378628,-1.00000290
757,-0.10192991,-0.31572026
758,0.06539780,-0.19629266
759,0.10701791,-0.17585287
760,-0.10688501,0.57993402
761,-0.12950142,-0.85736536
762,0.13207802,-0.66746280
763,-0.05576299,-0.79289527
764,-0.13823171,0.12239782
765,-0.09209807,-0.81709631
766,0.11460310,0.36068346
767,0.11560209,0.40601707
768,0.06408397,-0.05354858
769,-0.11257676,-0.34126181
770,0.14001199,-0.63467462
771,0.11583213,0.35767999
772,-0.11602823,-0.40271935
773,-0.09636132,0.14214487
774,0.09662802,-0.56408763
775,-0.11647689,-0.42762058
776,-0.10987089,0.67213255
777,-0.01190565,0.50908461
778,-0.11788700,0.13370158
779,0.13941743,-0.61612008
780,0.02832072,-0.02967844
781,0.13551035,0.87939407
782,-0.11714418,-0.40443029
783,0.01559014,-0.96174038
784,0.00670367,-0.50678714
785,0.11186839,-0.15247702
786,-0.10575624,-0.82193763
787,-0.12776637,-0.41517066
788,0.10361518,-0.14538131
789,0.03431607,0.46598582
790,-0.08015063,-0.30972177
791,0.08250531,-0.06039225
792,0.04962578,-0.53947095
793,0.13221536,0.41580655
794,0.10991058,-0.11217561
795,0.07134461,0.44144513
796,0.14009405,0.39697245
797,0.11533313,0.34928153
798,0.12646505,-0.16390795
799,-0.13283217,0.68524111
800,0.12282697,0.83351934
801,0.10337188,-1.00000316
802,0.13891573,0.35935419
803,0.13971053,0.86791049
804,0.11270832,-0.67276320
805,0.01131911,0.98164090
806,-0.10613924,-0.41742996
807,0.09837637,-0.17801623
808,-0.04471543,-0.29233547
809,-0.08633180,-0.44044024
810,0.12104874,-0.67573909
811,0.13364231,0.39332165
812,0.08196882,0.80207846
813,-0.11129430,0.62053060
814,-0.08313721,0.56427345
815,0.07602466,-0.69172515
816,-0.12697514,0.59603859
817,-0.09573335,-0.90391891
818,-0.07231422,0.55667397
819,0.08568425,0.93166235
820,0.06615774,-1.00000205
821,-0.13497644,-0.34006252
822,-0.10266383,-0.89944584
823,-0.05523402,-0.29648039
824,0.12000577,0.36038860
825,0.05893104,-0.99619313
826,0.01861510,0.26611162
827,-0.10302084,-0.34988792
828,-0.11111410,0.07043548
829,-0.11312946,-0.34907897
830,0.07801861,0.43519260
831,0.03883847,0.28367902
832,-0.06361485,0.54774464
833,0.08072612,0.30546560
834,0.09345862,-0.55957412
835,0.12597452,0.37674385
836,-0.11409501,0.06775486
837,-0.10148186,0.16879587
838,0.11660132,0.87885067
839,-0.14147862,-0.85843226
840,0.09595298,-0.08853187
841,-0.09192045,-0.33359702
842,-0.11186057,-0.33795953
843,-0.10345054,0.57009601
