neuron_idx,b_j,a_j,da_dt,db_dt,R_j,is_active,R_near_zero
2571,-1.336619,-0.290810,-8.393415e-03,-1.400609e-03,4.816240e-03,1,0
3359,-1.295790,-0.249726,-8.196772e-03,-1.202739e-03,4.816240e-03,1,0
340,-1.286328,-0.240136,-8.151198e-03,-1.156553e-03,4.816240e-03,1,0
2517,-1.286079,-0.241901,-8.150000e-03,-1.165052e-03,4.816240e-03,1,0
289,-1.277701,-0.231315,-8.109648e-03,-1.114068e-03,4.816240e-03,1,0
3146,-1.267659,-0.221492,-8.061285e-03,-1.066759e-03,4.816240e-03,1,0
2318,-1.254782,-0.208534,-7.999266e-03,-1.004349e-03,4.816240e-03,1,0
1914,-1.252173,-0.207763,-7.986700e-03,-1.000637e-03,4.816240e-03,1,0
2301,-1.249856,-0.204290,-7.975543e-03,-9.839103e-04,4.816240e-03,1,0
2827,-1.234893,-0.188144,-7.903476e-03,-9.061477e-04,4.816240e-03,1,0
1686,-1.210493,-0.164579,-7.785959e-03,-7.926515e-04,4.816240e-03,1,0
2135,-1.188495,-0.142994,-7.680010e-03,-6.886912e-04,4.816240e-03,1,0
542,-1.184314,-0.137240,-7.659875e-03,-6.609827e-04,4.816240e-03,1,0
3286,-1.179324,-0.133566,-7.635842e-03,-6.432862e-04,4.816240e-03,1,0
2117,-1.177276,-0.132570,-7.625981e-03,-6.384899e-04,4.816240e-03,1,0
2097,-1.173453,-0.128922,-7.607565e-03,-6.209192e-04,4.816240e-03,1,0
110,-1.156878,-0.114017,-7.527738e-03,-5.491335e-04,4.816240e-03,1,0
464,-1.152993,-0.107230,-7.509024e-03,-5.164441e-04,4.816240e-03,1,0
947,-1.146977,-0.102217,-7.480049e-03,-4.922998e-04,4.816240e-03,1,0
1511,-1.142565,-0.097070,-7.458801e-03,-4.675107e-04,4.816240e-03,1,0
2461,-1.128677,-0.081919,-7.391914e-03,-3.945420e-04,4.816240e-03,1,0
799,-1.122903,-0.077332,-7.364104e-03,-3.724515e-04,4.816240e-03,1,0
3478,-1.118935,-0.071678,-7.344993e-03,-3.452192e-04,4.816240e-03,1,0
3433,-1.115167,-0.069924,-7.326848e-03,-3.367729e-04,4.816240e-03,1,0
3296,-1.104964,-0.057093,-7.277708e-03,-2.749728e-04,4.816240e-03,1,0
865,-1.103998,-0.059431,-7.273054e-03,-2.862350e-04,4.816240e-03,1,0
2794,-1.097706,-0.052645,-7.242752e-03,-2.535486e-04,4.816240e-03,1,0
2067,-1.095018,-0.050180,-7.229806e-03,-2.416785e-04,4.816240e-03,1,0
3413,-1.085855,-0.042471,-7.185672e-03,-2.045484e-04,4.816240e-03,1,0
2047,-1.085291,-0.040419,-7.182957e-03,-1.946692e-04,4.816240e-03,1,0
633,-1.083450,-0.039366,-7.174091e-03,-1.895975e-04,4.816240e-03,1,0
320,-1.080015,-0.035061,-7.157547e-03,-1.688621e-04,4.816240e-03,1,0
3426,-1.079793,-0.034573,-7.156478e-03,-1.665136e-04,4.816240e-03,1,0
3138,-1.077111,-0.031561,-7.143559e-03,-1.520037e-04,4.816240e-03,1,0
